id,nodecount,avgversion,attributecount,usercount
33,1,3,0,1
132,1,2,11,1
135,2,3.2,4,1
172,1,2,15,1
210,1,2,11,1
224,1,2,15,1
238,1,5,0,1
271,1,2,9,1
305,1,2,11,1
349,1,2,11,1
415,1,2,11,1
475,1,2,11,1
494,1,2,11,1
586,1,2,17,1
587,1,2,17,1
606,1,2,9,1
637,1,2,15,1
675,1,2,11,1
687,1,2,15,1
701,1,1,0,1
730,1,2,11,1
804,1,3,0,1
826,1,2,11,1
845,1,1,0,1
846,7,1.6,9,2
847,1,1,0,1
887,2,2,36,1
890,3,3.67,0,1
891,1,1,0,1
895,1,1,0,1
896,4,1,0,1
897,5,1,0,1
898,3,1,0,1
899,1,1,0,1
906,1,2,11,1
939,1,9,0,1
940,1,1,0,1
945,1,1,0,1
946,1,1,0,1
947,7,1.14,0,2
948,5,1,0,1
949,3,1,0,1
950,7,1,0,1
956,1,3,0,1
957,1,2,9,1
993,1,1,0,1
994,1,1,0,1
996,1,1,0,1
997,2,1,0,1
999,1,1,0,1
1000,3,1,0,1
1001,3,1,0,1
1044,2,1,0,1
1045,3,1,0,2
1046,3,1,0,1
1047,3,1,0,1
1048,5,1.5,0,2
1049,3,1.67,0,1
1091,1,2,0,1
1092,1,2,0,1
1096,5,1,0,2
1098,4,1,0,1
1099,4,1.5,0,2
1144,2,1,0,1
1146,1,1,0,1
1149,3,1.17,3,1
1150,5,1,0,2
1151,12,1.17,0,1
1152,5,1,0,1
1193,1,2,0,1
1194,1,2,0,1
1195,3,1,0,1
1196,2,1.33,0,2
1197,3,1.2,3,1
1198,1,2,0,1
1199,2,1.33,0,1
1200,1,1,0,1
1201,2,1,0,1
1203,5,1,0,1
1204,13,1.23,0,1
1205,3,1.67,0,2
1216,1,4,3,1
1238,2,1.5,0,1
1239,2,1,0,1
1240,1,1,0,1
1242,1,1,2,1
1244,3,3.43,72,2
1245,2,1,0,1
1246,2,1,0,1
1247,5,1.17,1,2
1248,7,1.29,0,3
1249,5,1.4,0,3
1250,3,1,1,2
1251,6,1.17,1,1
1252,2,1,0,1
1253,3,1,1,1
1254,11,1,0,1
1255,3,1.67,0,2
1256,2,1,0,1
1295,2,1,0,1
1296,2,1,0,1
1297,1,2,0,1
1298,4,1.75,1,2
1299,7,1.71,0,2
1300,4,1.75,0,2
1301,6,1,1,3
1302,6,1.57,0,2
1305,2,2,0,2
1306,4,1,0,1
1342,1,1,0,1
1349,1,1,1,1
1350,3,2,0,1
1351,3,1.67,1,2
1352,3,1.33,0,2
1353,3,1.25,1,2
1354,4,1.5,0,1
1356,3,2.33,0,1
1360,2,1.9,9,2
1371,2,2,0,1
1399,1,2,0,1
1400,1,1,1,1
1401,1,1,2,1
1402,2,1,1,2
1404,2,1,0,2
1405,2,1.33,0,2
1406,4,2.25,0,1
1407,2,3.5,0,1
1409,2,1,0,1
1410,1,1,0,1
1448,4,2,29,3
1449,1,2,0,1
1452,3,2,0,1
1453,1,2,0,1
1454,2,2.67,0,2
1456,2,2,0,2
1457,1,1.5,0,2
1459,2,1.5,0,1
1501,2,2,2,1
1502,1,2,0,1
1503,2,2,0,1
1504,1,2,0,1
1505,2,3,2,2
1509,1,2,0,1
1512,1,2,0,1
1550,1,2,0,1
1551,2,2,2,1
1552,1,1,0,1
1553,6,1.17,0,1
1554,2,2,2,1
1556,3,2,0,1
1558,1,2,11,1
1563,5,1.2,0,1
1564,1,2,0,1
1601,2,2,0,1
1602,5,2,0,1
1603,8,1.75,0,1
1604,5,1.2,0,1
1605,3,2,0,2
1606,2,2.5,0,2
1607,1,3,0,1
1613,1,2,0,1
1614,1,2,0,1
1615,2,2,0,1
1653,2,2,0,1
1655,3,2,0,1
1660,1,2,0,1
1661,1,2,0,1
1662,1,2,0,1
1702,1,2,9,1
1704,1,2,0,1
1705,2,2,0,1
1712,2,2,0,1
1714,1,2,0,1
1762,1,2,0,1
1765,1,3,0,1
1770,1,2,9,1
1807,1,2,18,1
1812,1,2,0,1
1814,2,3.5,0,1
1826,1,2,9,1
1859,1,2,18,1
1860,1,2,0,1
1861,1,2,0,1
1862,2,2,0,1
1863,1,2,0,1
1914,1,2,0,1
1915,2,2.5,0,1
1917,1,2,4,1
1963,2,2.75,3,1
1964,2,2,0,1
1965,4,2.5,3,1
2014,5,3.25,4,1
2024,1,2,9,1
2218,1,3,28,1
2269,1,2,18,1
2282,1,2,9,1
2343,1,2,9,1
2369,1,3,0,1
2370,1,2,0,1
2377,1,2,11,1
2383,1,3,0,1
2384,2,2,0,1
2421,1,2,0,1
2422,1,2,0,1
2442,1,2,9,1
2486,1,2,0,1
2487,1,2,0,1
2545,1,1,3,1
2593,1,2,0,1
