id,nodecount,avgversion,attributecount,usercount
0,1,1,2,1
22,4,1,0,1
25,2,1,4,1
26,1,1,2,1
27,2,1.4,10,1
28,1,1,2,1
29,2,1,4,1
30,1,1,2,1
31,1,1,2,1
68,1,1,0,1
69,5,1,0,1
70,2,1,0,1
71,1,1,0,1
72,4,1,6,1
73,4,3.18,8,2
119,1,1,0,1
120,1,1,0,1
121,3,1,0,1
122,4,1,0,1
123,4,1,0,1
162,1,1,0,1
172,1,1,0,1
173,1,1,0,1
174,4,1,0,1
210,1,1,0,1
212,1,1,0,1
213,1,1,0,1
223,2,1,0,1
224,3,1,0,1
225,1,1,0,1
226,3,1,0,1
254,1,1,0,1
262,1,1,0,1
263,1,1,0,1
276,1,1,0,1
277,1,1,0,1
305,1,1,0,1
325,2,1,0,1
326,6,1,0,1
378,5,1.42,22,3
428,2,1,0,1
429,1,1,1,1
479,2,1,0,1
529,3,1,0,1
530,2,1,0,1
579,3,1,0,1
580,1,1,0,1
581,2,1,0,1
601,2,2.56,9,1
632,2,1,0,1
652,1,1,1,1
683,2,1,0,1
684,2,1,0,1
702,1,1,2,1
732,1,1,0,1
753,1,1,2,1
766,1,1,0,1
771,1,1,0,1
773,1,1,0,1
774,4,1,0,1
796,1,1,2,1
799,1,1,2,1
804,1,1,1,1
826,1,1,0,1
828,1,1,0,1
844,1,1,2,1
846,1,1,2,1
849,1,1,1,1
851,1,1,2,1
855,1,1,2,1
859,1,5,0,1
860,1,5,0,1
868,1,1,0,1
869,1,1,0,1
871,1,1,0,1
872,1,1,0,1
873,1,1,0,1
875,1,1,0,1
877,1,1,0,1
879,1,1,0,1
894,1,1,2,1
896,1,1,2,1
898,1,1,2,1
906,1,1,2,1
920,2,1,0,1
921,1,1,0,1
922,1,1,0,1
923,2,1,0,1
925,2,1,0,1
926,2,1,0,1
956,1,1,6,1
969,1,1,0,1
974,1,1,0,1
976,1,1,0,1
979,1,1,0,1
980,1,1,0,1
1007,1,1,2,1
1020,3,1,0,1
1026,1,1,0,1
1027,1,1,0,1
1028,2,1,0,1
1029,3,1,0,1
1031,1,1,0,1
1053,1,1,1,1
1058,1,1,6,1
1071,1,1,0,1
1076,2,1,0,1
1077,3,1,0,1
1078,1,1,0,1
1079,1,1,0,1
1080,1,1,0,1
1082,1,1,0,1
1093,1,1.5,6,1
1109,1,1.5,38,2
1110,2,1.92,89,3
1127,1,1,0,1
1128,3,1.67,4,2
1130,1,1,0,1
1131,1,1,0,1
1132,1,1,0,1
1133,1,1,0,1
1145,1,2,6,1
1155,1,5,66,1
1160,1,1,2,1
1165,1,1,2,1
1173,1,1,0,1
1179,8,1,0,1
1180,3,1,0,1
1181,5,1,0,1
1182,1,1,0,1
1184,1,1,0,1
1196,1,3,6,1
1197,2,1,0,1
1199,1,1,0,1
1200,1,1,0,1
1211,1,1,2,1
1215,2,1,0,1
1224,1,1,0,1
1225,1,1,0,1
1227,1,1,0,1
1228,1,1,0,1
1229,2,1.49,64,3
1231,1,3,270,2
1248,2,5.44,70,3
1249,1,1,0,1
1251,2,1,0,1
1256,1,2,8,1
1257,1,3,8,1
1265,1,3,4,1
1266,1,1,2,1
1276,1,1,0,1
1279,1,1,0,1
1280,2,1,3,2
1291,2,1,0,1
1292,3,1,2,1
1294,2,1,2,1
1295,1,1,0,1
1296,4,5.12,14,2
1297,1,1,4,1
1298,1,1,0,1
1299,4,9.06,220,5
1300,3,1,0,2
1302,2,1,0,1
1317,1,2,3,1
1329,1,1,0,1
1330,1,1,0,1
1331,4,1,0,1
1346,2,1,0,1
1347,5,1,0,1
1353,2,1.88,7,1
1356,1,1,0,1
