County,Pct_pop_change,Pct_unemploy,Pct_afr_amer,Inf_mort_rate
Albany,0.6,2.8,11.1,6.1
Allegany,-1.1,6.7,0.7,5.4
Broome,-5.5,3.3,3.3,8.1
Cattaraugus,-0.3,6.4,1.1,9.6
Cayuga,-0.4,4.5,4,6.4
Chatauqua,-1.5,4.8,2.2,8
Chemung,-4.3,4.8,5.8,4.9
Chenango,-0.7,4.8,0.8,4.9
Clinton,-7.1,5.2,3.6,15.2
Columbia,0.2,2.9,4.5,6
Cortland,-0.7,5.9,0.9,3.6
Delaware,1.5,4.8,1.2,8
Dutchess,8,3.1,9.3,5
Erie,-1.9,4.8,13,8.2
Essex,4.6,6.6,2.8,5.2
Franklin,9.9,7.6,6.6,10.7
Fulton,1.6,5.8,1.8,4.6
Genesee,0.5,4.9,2.1,14.6
Greene,7.7,5,5.5,4.1
Hamilton,1.9,8.2,0.4,0
Herkimer,-2.1,5,0.5,8.6
Jefferson,0.7,8.2,5.8,5.2
Lewis,0.6,7.8,0.4,9
Livingston,3.1,4.6,3,8.5
Madison,0.4,4.4,1.3,4.8
Monroe,3,3.8,13.7,8.2
Montgomery,-4.4,5.8,1.2,3.4
Nassau,3.6,2.7,10.1,4.8
Niagara,-0.4,5.9,6.1,10.6
Oneida,-6.1,3.8,5.7,5.9
Onondaga,-2.3,3.5,9.4,6.7
Ontario,5.4,3.7,2.1,6.8
Orange,11,3.1,8.1,6.5
Orleans,5.6,5.3,7.3,5.4
Oswego,0.5,6.3,0.6,4.8
Otsego,2.1,4.7,1.7,5.1
Putnam,14.1,2.5,1.6,8.2
Renesselaer,-1.2,3.8,4.7,10.7
Rockland,8,3,11,4.3
Saratoga,10.7,3.2,1.4,4.8
Schenectady,-1.8,3.5,6.8,6.2
Schoharie,-0.8,4.8,1.3,14.9
Schuyler,3,5.5,1.5,4.6
Seneca,-1,4.9,2.3,5.4
St. Lawrence,0,8,2.4,6.8
Steuben,-0.4,4.9,1.4,5.9
Sufolk,7.4,3.2,6.9,6.2
Sullivan,6.8,5,8.5,4.8
Tioga,-1.1,3.3,0.5,4.7
Tompkins,2.6,2.7,3.6,8.2
Ulster,7.5,3.3,5.4,3.6
Warren,6.9,4,0.6,5.8
Washington,2.9,4.1,2.9,3.3
Wayne,5.2,4.4,3.2,10.3
Westchester,5.6,3,14.2,4.9
Wyoming,2.2,5.8,5.5,11.3
Yates,7.9,3.7,0.6,3
